player,elo_overall,matches_played,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_carpet,matches_carpet
Donski A.,1456.0,1,1451.5,1,1500.0,0,1500.0,0,1500.0,0
Uchijima M.,1455.8,78,1450.7,56,1464.6,18,1393.8,4,1500.0,0
Sidorenko A.,1455.7,6,1492.7,5,1429.3,1,1500.0,0,1500.0,0
Mesaros K.,1455.7,1,1441.1,1,1500.0,0,1500.0,0,1500.0,0
Rolle A.,1455.7,1,1500.0,0,1462.5,1,1500.0,0,1500.0,0
Meligeni Rodrigues F,1455.6,2,1500.0,0,1454.0,2,1500.0,0,1500.0,0
Emmrich M.,1455.6,1,1500.0,0,1500.0,0,1459.0,1,1500.0,0
Yang V.,1455.6,1,1438.5,1,1500.0,0,1500.0,0,1500.0,0
Schoorel T.,1455.3,6,1387.9,4,1531.1,2,1500.0,0,1500.0,0
Forbes M.,1455.2,1,1455.7,1,1500.0,0,1500.0,0,1500.0,0
Habib H.,1455.2,6,1448.9,6,1500.0,0,1500.0,0,1500.0,0
Papadakis L.,1455.2,2,1500.0,0,1500.0,0,1404.3,2,1500.0,0
Millot V.,1455.1,28,1454.3,24,1346.9,3,1409.9,1,1500.0,0
Okuno A.,1455.1,1,1456.1,1,1500.0,0,1500.0,0,1500.0,0
Kulambayeva Z.,1454.8,1,1457.8,1,1500.0,0,1500.0,0,1500.0,0
Bhambri Y.,1454.7,39,1501.8,35,1401.9,1,1402.8,3,1500.0,0
Duerst J.,1454.7,1,1500.0,0,1463.9,1,1500.0,0,1500.0,0
Rampre P.,1454.6,6,1459.4,3,1459.3,3,1500.0,0,1500.0,0
Siriluethaiwattana P.,1454.3,1,1442.1,1,1500.0,0,1500.0,0,1500.0,0
Ahouda A.,1454.0,4,1500.0,0,1448.0,4,1500.0,0,1500.0,0
Quigley E.,1454.0,1,1450.3,1,1500.0,0,1500.0,0,1500.0,0
Rueffer L.,1453.9,1,1500.0,0,1449.1,1,1500.0,0,1500.0,0
Anderson O.,1453.8,1,1450.3,1,1500.0,0,1500.0,0,1500.0,0
Liu F.,1453.7,23,1435.0,23,1500.0,0,1500.0,0,1500.0,0
Lazov A.,1453.6,1,1444.8,1,1500.0,0,1500.0,0,1500.0,0
Gaydarzhi K.,1453.4,1,1451.1,1,1500.0,0,1500.0,0,1500.0,0
Biryukov M.,1453.4,1,1427.3,1,1500.0,0,1500.0,0,1500.0,0
Alves C.M.,1453.4,1,1448.7,1,1500.0,0,1500.0,0,1500.0,0
Borsanyi C.,1453.4,1,1500.0,0,1421.3,1,1500.0,0,1500.0,0
Damas M.,1453.3,1,1500.0,0,1463.1,1,1500.0,0,1500.0,0
Gensse A.,1453.2,2,1470.9,1,1460.7,1,1500.0,0,1500.0,0
Vaisse M.,1453.2,1,1500.0,0,1430.4,1,1500.0,0,1500.0,0
Han N.L.,1453.1,15,1405.8,15,1500.0,0,1500.0,0,1500.0,0
Moraru G.,1452.8,1,1500.0,0,1456.2,1,1500.0,0,1500.0,0
Krall L.,1452.7,1,1454.8,1,1500.0,0,1500.0,0,1500.0,0
Schoofs B.,1452.7,14,1472.1,9,1513.0,2,1463.8,3,1500.0,0
Bourgue M.,1452.7,6,1440.4,2,1483.3,4,1500.0,0,1500.0,0
Zhang Ze.,1452.7,2,1447.1,2,1500.0,0,1500.0,0,1500.0,0
Robillard-Millette C.,1452.7,1,1454.0,1,1500.0,0,1500.0,0,1500.0,0
Kiefer N.,1452.6,4,1500.0,0,1417.8,1,1437.4,3,1500.0,0
Marosi K.,1452.6,4,1445.8,1,1465.8,3,1500.0,0,1500.0,0
Schwaerzler J.J.,1452.5,2,1500.0,0,1429.2,2,1500.0,0,1500.0,0
Meligeni Alves F.,1452.4,12,1539.0,5,1437.5,6,1439.0,1,1500.0,0
Mathieu P.H.,1452.3,180,1412.4,89,1543.6,71,1460.1,20,1500.0,0
Date K.,1452.2,1,1441.5,1,1500.0,0,1500.0,0,1500.0,0
Wurth T.,1452.1,2,1457.4,1,1471.7,1,1500.0,0,1500.0,0
Wu T.L.,1452.0,6,1437.4,6,1500.0,0,1500.0,0,1500.0,0
Marrero D.,1452.0,3,1500.0,0,1460.6,3,1500.0,0,1500.0,0
Knittel B.,1452.0,5,1500.0,0,1472.4,4,1420.9,1,1500.0,0
Perez A.,1451.9,1,1449.7,1,1500.0,0,1500.0,0,1500.0,0
Levy H.,1451.9,3,1451.9,3,1500.0,0,1500.0,0,1500.0,0
Feuerstein C.,1451.8,16,1392.5,4,1428.8,12,1500.0,0,1500.0,0
Kuhn N.,1451.7,12,1499.8,6,1483.7,4,1424.3,2,1500.0,0
Shi H.,1451.7,6,1445.0,6,1500.0,0,1500.0,0,1500.0,0
Bolsova A.,1451.4,32,1472.1,14,1450.1,17,1415.7,1,1500.0,0
Moriya H.,1451.4,14,1450.3,13,1500.0,0,1474.6,1,1500.0,0
Kasnikowski M.,1451.3,1,1428.5,1,1500.0,0,1500.0,0,1500.0,0
Escoffier A.,1451.3,1,1444.6,1,1500.0,0,1500.0,0,1500.0,0
Li Zh.,1451.3,1,1448.4,1,1500.0,0,1500.0,0,1500.0,0
Vrancken Peeters A.,1451.3,1,1500.0,0,1500.0,0,1470.8,1,1500.0,0
Garanganga T.,1451.3,1,1426.5,1,1500.0,0,1500.0,0,1500.0,0
Knowle J.,1451.0,1,1443.7,1,1500.0,0,1500.0,0,1500.0,0
Pigato L.,1450.9,5,1500.0,0,1437.5,5,1500.0,0,1500.0,0
Echeverria Alam N.,1450.9,1,1500.0,0,1460.1,1,1500.0,0,1500.0,0
Strode B.,1450.9,1,1450.9,1,1500.0,0,1500.0,0,1500.0,0
Hong H.H.,1450.8,1,1449.5,1,1500.0,0,1500.0,0,1500.0,0
Bertea E.R.,1450.6,1,1436.5,1,1500.0,0,1500.0,0,1500.0,0
Rodionova A.,1450.6,14,1424.6,8,1484.8,4,1505.7,2,1500.0,0
Niki T.,1450.5,1,1449.1,1,1500.0,0,1500.0,0,1500.0,0
Elgin M.,1450.4,2,1443.5,2,1500.0,0,1500.0,0,1500.0,0
Marcondes I.,1450.3,1,1500.0,0,1446.4,1,1500.0,0,1500.0,0
Choi J-H.,1450.3,1,1445.4,1,1500.0,0,1500.0,0,1500.0,0
Bega A.,1450.2,1,1463.8,1,1500.0,0,1500.0,0,1500.0,0
Altick F.,1450.2,1,1500.0,0,1427.8,1,1500.0,0,1500.0,0
Ma Y.,1450.1,5,1428.6,5,1500.0,0,1500.0,0,1500.0,0
Vogt S.,1450.1,1,1500.0,0,1455.8,1,1500.0,0,1500.0,0
Golubev A.,1450.1,123,1432.2,71,1448.7,45,1275.1,7,1500.0,0
Toth A.,1450.0,3,1500.0,0,1428.3,3,1500.0,0,1500.0,0
Lisjak I.,1450.0,1,1437.7,1,1500.0,0,1500.0,0,1500.0,0
Eysseric J.,1449.9,1,1448.5,1,1500.0,0,1500.0,0,1500.0,0
Arn G.,1449.9,78,1459.9,43,1482.3,30,1439.6,5,1500.0,0
Kosakowski D.,1449.8,3,1455.5,3,1500.0,0,1500.0,0,1500.0,0
Fullana L.,1449.8,1,1445.6,1,1500.0,0,1500.0,0,1500.0,0
Casanova H.,1449.8,1,1500.0,0,1432.0,1,1500.0,0,1500.0,0
Moundir A.,1449.7,1,1500.0,0,1438.4,1,1500.0,0,1500.0,0
Patino L.,1449.6,1,1433.8,1,1500.0,0,1500.0,0,1500.0,0
Vicens Mas R.,1449.6,1,1500.0,0,1434.3,1,1500.0,0,1500.0,0
Statham J.,1449.6,7,1434.6,7,1500.0,0,1500.0,0,1500.0,0
Kirillov E.,1449.5,1,1500.0,0,1500.0,0,1417.1,1,1500.0,0
Grigelis L.,1449.4,1,1431.8,1,1500.0,0,1500.0,0,1500.0,0
Ciorcila P.,1449.3,1,1500.0,0,1423.4,1,1500.0,0,1500.0,0
Curmi F.,1449.2,1,1500.0,0,1421.3,1,1500.0,0,1500.0,0
Lestienne C.,1449.2,62,1465.8,48,1319.7,7,1315.2,7,1500.0,0
Geerlings Martinez A.,1449.1,1,1500.0,0,1457.8,1,1500.0,0,1500.0,0
Kiick A.,1449.1,17,1367.2,12,1495.2,5,1500.0,0,1500.0,0
Mott B.,1449.1,2,1437.3,2,1500.0,0,1500.0,0,1500.0,0
Thompson C.,1449.0,1,1500.0,0,1500.0,0,1442.0,1,1500.0,0
Sadecky A.,1449.0,3,1500.0,0,1444.0,3,1500.0,0,1500.0,0
Malygina E.,1448.8,2,1484.2,1,1434.3,1,1500.0,0,1500.0,0
Krawietz K.,1448.5,4,1500.0,0,1422.6,2,1464.5,2,1500.0,0
Hofmanova N.,1448.4,3,1500.0,0,1454.3,3,1500.0,0,1500.0,0
Chela J.I.,1448.4,117,1438.8,38,1543.0,75,1386.2,4,1500.0,0
Grey S.,1448.4,1,1500.0,0,1500.0,0,1434.3,1,1500.0,0
Scandalis Z.G.,1448.2,1,1432.9,1,1500.0,0,1500.0,0,1500.0,0
Bubka S.,1448.1,17,1475.1,13,1473.7,1,1447.9,3,1500.0,0
Smith A.,1448.1,1,1454.0,1,1500.0,0,1500.0,0,1500.0,0
Rosca A.,1448.0,1,1500.0,0,1448.8,1,1500.0,0,1500.0,0
Garcia Perez G.,1447.7,15,1392.0,6,1412.1,6,1520.0,3,1500.0,0
Bogaerts R.,1447.6,1,1440.3,1,1500.0,0,1500.0,0,1500.0,0
Soeda G.,1447.6,92,1435.9,69,1304.4,8,1415.0,15,1500.0,0
Minella M.,1447.5,145,1422.2,79,1488.6,57,1322.9,9,1500.0,0
