date,tournament,surface,ace_pct,surface_speed
2014-02-10,Memphis,Hard,0.11199999999999999,0.94
2014-02-10,Rotterdam,Hard,0.12,1.08
2014-02-17,Rio de Janeiro,Clay,0.055999999999999994,0.77
2014-02-17,Delray Beach,Hard,0.128,0.93
2014-02-17,Marseille,Hard,0.146,1.26
2014-02-24,Acapulco,Hard,0.113,0.98
2014-02-24,Sao Paulo,Clay,0.099,1.2
2014-02-24,Dubai,Hard,0.085,0.81
2014-03-06,Indian Wells Masters,Hard,0.092,0.9
2014-03-19,Miami Masters,Hard,0.102,1.04
2014-04-07,Casablanca,Clay,0.05,0.68
2014-04-07,Houston,Clay,0.073,0.7
2014-04-13,Monte Carlo Masters,Clay,0.057999999999999996,0.64
2014-04-21,Bucharest,Clay,0.054000000000000006,0.51
2014-04-21,Barcelona,Clay,0.065,0.72
2014-04-28,Estoril,Clay,0.054000000000000006,0.62
2014-04-28,Munich,Clay,0.07400000000000001,0.87
2014-05-04,Madrid Masters,Clay,0.08800000000000001,0.94
2014-05-11,Rome Masters,Clay,0.07400000000000001,0.74
2014-05-18,Nice,Clay,0.07200000000000001,0.74
2014-05-18,Dusseldorf,Clay,0.079,0.78
2014-05-26,Roland Garros,Clay,0.071,0.71
2014-06-09,Queen's Club,Grass,0.142,1.26
2014-06-09,Halle,Grass,0.134,1.31
2014-06-15,s Hertogenbosch,Grass,0.09300000000000001,1.05
2014-06-16,Eastbourne,Grass,0.129,1.29
2014-06-23,Wimbledon,Grass,0.132,1.35
2014-07-07,Stuttgart,Clay,0.078,0.89
2014-07-07,Bastad,Clay,0.066,1.07
2014-07-07,Newport,Grass,0.11,1.23
2014-07-14,Bogota,Hard,0.152,1.37
2014-07-14,Hamburg,Clay,0.059000000000000004,0.79
2014-07-21,Atlanta,Hard,0.121,0.9
2014-07-21,Gstaad,Clay,0.057,0.77
2014-07-21,Umag,Clay,0.07200000000000001,0.76
2014-07-27,Kitzbuhel,Clay,0.069,0.81
2014-07-28,Washington,Hard,0.15,1.25
2014-08-04,Canada Masters,Hard,0.11599999999999999,1.0
2014-08-10,Cincinnati Masters,Hard,0.11,1.17
2014-08-17,Winston-Salem,Hard,0.11800000000000001,1.1
2014-08-25,US Open,Hard,0.109,1.1
2014-09-15,Metz,Hard,0.125,1.37
2014-09-22,Kuala Lumpur,Hard,0.09300000000000001,1.04
2014-09-22,Shenzhen,Hard,0.109,1.49
2014-09-29,Beijing,Hard,0.087,0.81
2014-09-29,Tokyo,Hard,0.115,1.06
2014-10-05,Shanghai Masters,Hard,0.13,1.34
2014-10-13,Moscow,Hard,0.09300000000000001,1.12
2014-10-13,Stockholm,Hard,0.11,1.15
2014-10-13,Vienna,Hard,0.125,1.26
2014-10-20,Valencia,Hard,0.084,1.05
2014-10-20,Basel,Hard,0.146,1.2
2014-10-27,Paris Masters,Hard,0.109,1.03
2014-11-09,Tour Finals,Hard,0.087,0.89
2015-01-04,Brisbane,Hard,0.14800000000000002,1.2
2015-01-05,Chennai,Hard,0.096,0.91
2015-01-05,Doha,Hard,0.1,1.06
2015-01-11,Sydney,Hard,0.152,1.32
2015-01-12,Auckland,Hard,0.114,1.21
2015-01-19,Australian Open,Hard,0.125,1.19
2015-02-02,Zagreb,Hard,0.10099999999999999,1.08
2015-02-02,Quito,Clay,0.08900000000000001,0.89
2015-02-02,Montpellier,Hard,0.114,1.29
2015-02-09,Sao Paulo,Clay,0.08800000000000001,1.03
2015-02-09,Memphis,Hard,0.17300000000000001,1.19
2015-02-09,Rotterdam,Hard,0.12,1.19
2015-02-16,Marseille,Hard,0.113,1.28
2015-02-16,Rio de Janeiro,Clay,0.053,0.8
2015-02-16,Delray Beach,Hard,0.129,0.88
2015-02-23,Acapulco,Hard,0.086,0.67
2015-02-23,Dubai,Hard,0.09699999999999999,0.93
2015-02-23,Buenos Aires,Clay,0.051,0.78
2015-03-12,Indian Wells Masters,Hard,0.105,0.99
2015-03-25,Miami Masters,Hard,0.084,0.86
2015-04-06,Houston,Clay,0.10300000000000001,0.76
2015-04-06,Casablanca,Clay,0.077,0.83
2015-04-12,Monte Carlo Masters,Clay,0.062,0.63
2015-04-20,Barcelona,Clay,0.052000000000000005,0.7
2015-04-20,Bucharest,Clay,0.061,0.59
2015-04-27,Munich,Clay,0.08800000000000001,1.01
2015-04-27,Istanbul,Clay,0.066,0.83
2015-04-27,Estoril,Clay,0.071,0.63
2015-05-03,Madrid Masters,Clay,0.092,0.85
2015-05-10,Rome Masters,Clay,0.09300000000000001,0.94
2015-05-17,Nice,Clay,0.07400000000000001,0.64
2015-05-17,Geneva,Clay,0.057999999999999996,0.78
2015-05-24,Roland Garros,Clay,0.07,0.72
2015-06-08,Stuttgart,Grass,0.14,1.32
2015-06-08,s Hertogenbosch,Grass,0.106,1.06
2015-06-15,Halle,Grass,0.124,1.13
2015-06-15,Queen's Club,Grass,0.165,1.27
2015-06-21,Nottingham,Grass,0.115,1.21
2015-06-29,Wimbledon,Grass,0.13,1.2
2015-07-13,Newport,Grass,0.228,1.26
2015-07-20,Bogota,Hard,0.171,1.18
2015-07-20,Umag,Clay,0.05,0.67
2015-07-20,Bastad,Clay,0.063,0.64
2015-07-27,Hamburg,Clay,0.054000000000000006,0.62
2015-07-27,Gstaad,Clay,0.075,0.84
2015-07-27,Atlanta,Hard,0.177,1.35
2015-08-03,Kitzbuhel,Clay,0.08199999999999999,0.85
2015-08-03,Washington,Hard,0.157,1.12
2015-08-10,Canada Masters,Hard,0.122,1.08
2015-08-16,Cincinnati Masters,Hard,0.122,1.05
2015-08-23,Winston-Salem,Hard,0.14,1.33
2015-08-31,US Open,Hard,0.114,1.1
2015-09-21,St. Petersburg,Hard,0.099,0.98
2015-09-21,Metz,Hard,0.139,1.28
2015-09-28,Kuala Lumpur,Hard,0.111,0.95
2015-09-28,Shenzhen,Hard,0.11900000000000001,1.2
2015-10-05,Tokyo,Hard,0.111,1.0
2015-10-05,Beijing,Hard,0.107,1.05
2015-10-11,Shanghai Masters,Hard,0.127,1.05
2015-10-19,Stockholm,Hard,0.11800000000000001,1.13
2015-10-19,Moscow,Hard,0.08900000000000001,1.08
2015-10-19,Vienna,Hard,0.157,1.39
2015-10-26,Basel,Hard,0.122,1.02
2015-10-26,Valencia,Hard,0.10300000000000001,0.95
2015-11-02,Paris Masters,Hard,0.105,1.03
2015-11-15,Tour Finals,Hard,0.08,0.96
2016-01-04,Doha,Hard,0.092,1.17
2016-01-04,Brisbane,Hard,0.12,1.08
2016-01-04,Chennai,Hard,0.10300000000000001,1.08
2016-01-11,Sydney,Hard,0.106,1.17
2016-01-11,Auckland,Hard,0.129,1.16
2016-01-18,Australian Open,Hard,0.12,1.26
2016-02-01,Sofia,Hard,0.081,0.87
2016-02-01,Quito,Clay,0.124,1.54
2016-02-01,Montpellier,Hard,0.099,1.14
2016-02-08,Memphis,Hard,0.09,0.93
2016-02-08,Buenos Aires,Clay,0.07,0.87
2016-02-08,Rotterdam,Hard,0.098,1.07
2016-02-15,Delray Beach,Hard,0.092,0.93
2016-02-15,Rio de Janeiro,Clay,0.07400000000000001,0.8
2016-02-15,Marseille,Hard,0.168,1.41
2016-02-22,Sao Paulo,Clay,0.066,0.83
2016-02-22,Dubai,Hard,0.099,0.88
2016-02-22,Acapulco,Hard,0.105,0.83
2016-03-07,Indian Wells Masters,Hard,0.08199999999999999,0.81
2016-03-21,Miami Masters,Hard,0.1,1.01
2016-04-04,Houston,Clay,0.106,0.86
2016-04-04,Marrakech,Clay,0.087,0.93
2016-04-11,Monte Carlo Masters,Clay,0.06,0.7
2016-04-18,Bucharest,Clay,0.067,0.76
2016-04-18,Barcelona,Clay,0.055999999999999994,0.65
2016-04-25,Estoril,Clay,0.07400000000000001,0.76
